vocablo,hiperonimo
arriesgue,Riesgo
arrimado,Persona
arrojadizo,Aquella
arsenal,Lugar
arte,Actividad
artesano,Persona
artiodáctilo,Orden
artista,Persona
artículo,Aquel
artículo,Escrito
artículo,Palabra
artífice,Persona
arzobispo,Obispo
arácnido,Artrópodo
asado,Guiso
asalariado,Persona
asaltante,Persona
ascenso,Aumento
asceta,Persona
ascomiceto,Clase
ascomiceto,Hongo
ascórbico,Vitamina
aseguradora,Compañía
asegurar,Hacer
asegurar,Revisar
asentamiento,Consignación
aserrado,Corte
aserto,Afirmación
asesor,Persona
aseveración,Afirmación
asiento,Anotación
asignatura,Materia
asilo,Establecimiento
asilo,Inmunidad
asistente,Persona
asma,Enfermedad
aspirador,Aparato
aspiradora,Aparato
aspirante,Persona
astillero,Taller
astro,Hombre
astronauta,Persona
astronomía,Ciencia
astrólogo,Persona
astrónomo,Persona
asunción,Proposición
atacante,Persona
atajo,Pared
atención,Hacer
atentado,Acción
ateo,Persona
atiesador,Placa
atinar,Lograr
atleta,Persona
atracción,Fuerza
atrasar,Hacer
atropellado,Persona
atropellar,Causar
audición,Presentación
audiencia,Entrevista
audiencia,Público
audio,Dispositivo
aula,Salón
aumentar,Hacer
aumento,Proceso
australopiteco,Fósil
autocrítica,Crítica
autoestima,Aprecio
automovilismo,Deporte
automovilista,Persona
autonomía,Capacidad
autonomía,Facultad
autor,Persona
autoridad,Persona
autoridad,Principio
autorretrato,Retrato
autómata,Mecanismo
autómata,Persona
auxilio,Ayuda
aval,Persona
avalúo,Valor
avenida,Creciente
aventador,Instrumento
aventurero,Persona
average,Promedio
averiguar,Tener
aviador,Persona
aviador,Tinacal
aviadora,Gorra
avío,Préstamo
axioma,Principio
ayudado,Pase
ayudante,Persona
azteca,Grupo
añejar,Dejar
añil,Sustancia
año,Tiempo
baba,Saliva
bachiller,Persona
bachillerato,Grado
bacteriólogo,Persona
bailarín,Persona
baile,Demostrar
bajada,Lugar
bajar,Hacer
balance,Consideración
balanceado,Dieta
balancear,Hacer
balastra,Dispositivo
balero,Aquel
baluarte,Fortificación
banca,Lugar
banco,Institución
banco,Organismo
banda,Cinta
bandera,Planta
banderazo,Señal
bandido,Persona
baqueta,Vara
barandilla,Lugar
barba,Carnosidad
barbaridad,Exclamación
barbecho,Campo
barbitúrico,Medicamento
barniz,Sustancia
barreno,Agujero
barricada,Barrera
barrote,Palo
barítono,Persona
barómetro,Instrumento
basta,Atadura
basta,Orificio
bastardo,Hijo
basto,Sistema
basura,Cosa
basílica,Iglesia
bateo,Cifra
batiente,Madero
baño,Capa
baño,Hacer
baño,Procedimiento
bebedero,Depósito
bebedizo,Líquido
beber,Hacer
bebida,Líquido
becario,Persona
becerro,Toro
becuadro,Signo
beisbolista,Persona
belleza,Cualidad
bemol,Signo
bendito,Expresión
beneficencia,Institución
beneficiario,Persona
berberidácea,Familia
beriberi,Enfermedad
bestia,Persona
bibliografía,Disciplina
bien,Propiedad
bignoniácea,Familia
bigote,Pelo
bioestadística,Disciplina
biología,Ciencia
bioquímica,Ciencia
bioquímico,Persona
bisoñé,Peluca
biógrafo,Persona
biólogo,Persona
blanco,Memoria
blanco,Parte
blanco,Persona
blanqueador,Sustancia
blanquear,Hacer
bloquear,Impedir
boca,Afirmar
boca,Aparentar
boca,Persona
bocadillo,Papel
bocina,Aparato
bocio,Enfermedad
bolero,Hombre
boliche,Juego
bolo,Juego
bolsa,Hacer
bolsa,Objeto
bolsa,Organización
bolsa,Turbulencia
bomba,Arma
bomba,Máquina
bombardeo,Aquel
bombero,Persona
bono,Documento
borla,Utensilio
borrachera,Exaltación
borracho,Dulce
borrar,Hacer
bota,Calzado
botar,Hacer
bote,Salto
botella,Recipiente
botánico,Persona
botín,Zapato
bovino,Subfamilia
box,Deporte
boxeador,Persona
braza,Cabo
breva,Higuera
briago,Persona
brigadier,Militar
brillo,Luz
brindis,Elogio
brocal,Cerco
brocheta,Platillo
bronce,Metal
bronconeumonía,Infección
brujo,Persona
brújula,Instrumento
buceador,Persona
bueno,Expresión
bufón,Persona
bula,Carta
bulbo,Aparato
bulto,Terreno
bulto,Volumen
buscador,Persona
buscapiés,Cohete
buzo,Persona
báscula,Instrumento
bísquet,Bizcocho
búfalo,Bisonte
caballero,Hombre
caballista,Persona
caballo,Contraseña
caballo,Pañal
cabecilla,Persona
cabellera,Nebulosidad
cabeza,Hacer
cabezazo,Golpe
cabida,Espacio
cabo,Cuerda
cabrón,Hombre
cacao,Grasa
cacaotero,Persona
cacarizo,Persona
cacique,Persona
cadena,Relación
caer,Sorprenderlo
cafetera,Jarra
cafetero,Persona
cafetería,Establecimiento
café,Bebida
caimán,Herramienta
caja,Aparato
caja,Cavidad
caja,Espacio
caja,Instrumento
caja,Parte
caja,Surco
cajete,Hueco
calado,Labor
calavera,Hoyo
caldo,Hacer
caldo,Líquido
calentador,Aparato
calentador,Filamento
calificación,Aprobación
calificativo,Vocablo
callar,Hacer
calmar,Hacer
calor,Temperatura
cama,Tener
camarada,Persona
camarero,Persona
camarero,Sirviente
camarógrafo,Persona
cambio,Control
cambio,Dinero
camellón,Banqueta
camellón,Lomo
camionero,Persona
camiseta,Lealtad
campamocha,Capullo
campana,Juego
campero,Persona
campesino,Persona
campo,Espacio
campo,Lugar
campo,Terreno
canastilla,Armazón
cancionero,Persona
cancionista,Persona
canción,Composición
candidato,Persona
candidatura,Propuesta
canijo,Expresión
cantante,Persona
cantera,Piedra
cantidad,Propiedad
cantor,Persona
canutillo,Puntada
caníbal,Persona
capacidad,Espacio
capilaridad,Fenómeno
capirotada,Postre
capitalista,Persona
capitanía,Edificio
capitán,Persona
caporal,Persona
capturista,Persona
capullo,Flor
caqui,Árbol
caracol,Expresión
carbonato,Remedio
carbonero,Persona
carburante,Sustancia
carbón,Hongo
carda,Máquina
careta,Cubierta
carga,Actividad
carga,Necesidad
carga,Peso
cargador,Persona
caribe,Pueblo
caricatura,Dibujo
carnicero,Persona
carnicería,Lugar
carnosidad,Carne
carnívoro,Orden
carpintero,Persona
carpintería,Oficio
carpintería,Taller
carretada,Carga
carretero,Caballo
carretero,Persona
carretilla,Utensilio
carrizal,Terreno
cartel,Convenio
cartelera,Armazón
cartera,Estuche
cartera,Valores
carterista,Ladrón
cartesiano,Línea
casa,Día
casa,Lugar
casa,Vivienda
casaca,Vestido
casar,Hacer
cascarón,Bóveda
caseta,Cabina
casquete,Semiesfera
castellanización,Proceso
castigar,Hacer
catalizador,Sustancia
catarrino,Simio
catarro,Enfermedad
catecismo,Texto
categoría,Clase
catgut,Hilo
catástrofe,Situación
católico,Persona
caudillo,Persona
causante,Persona
causar,Hacer
caña,Aguardiente
cañero,Persona
cebo,Alimento
cebo,Objeto
ceder,Dejar
celebrante,Persona
celestina,Mujer
cementerio,Lugar
cemento,Materia
cemento,Sustancia
censor,Oficial
censor,Persona
centavo,"Moneda,"
centellografía,Técnica
centena,Número
centro,Objeto
centro,Punto
centrífuga,Máquina
centurión,Oficial
cera,Membrana
cera,Sustancia
cercanía,Lugares
cernidor,Utensilio
cero,Calificación
cerrada,Calle
cerrajero,Persona
cerrajería,Lugar
cerrojo,Mecanismo
cervecería,Establecimiento
cervecería,Lugar
cestería,Artesanía
cestería,Lugar
ceño,Contracción
chacal,Ladrón
chacal,Persona
chachalaca,Persona
chambeador,Persona
chaneque,Ser
chanza,Broma
charlatán,Persona
charro,Jinete
charro,Persona
charrúa,Persona
chavo,Lesbiana
chicharrero,Ladrón
chicle,Pastilla
chilaquiles,Guiso
chillón,Persona
chinesco,Espectáculo
chismoso,Persona
chispa,Expresión
chivato,Chivo
chivo,Animal
chivo,La(s)
chocar,Hacer
chocolate,Bebida
chofer,Persona
chueco,Persona
chuj,Lengua
chumacera,Pieza
chupador,Persona
cháfara,Mercancía
ciclista,Persona
cielo,Espacio
científico,Persona
cimbrar,Hacer
cinco,Número
cine,Técnica
cineasta,Persona
cintarazo,Golpe
cinturón,Instrumento
ciperácea,Familia
circuito,Camino
circuito,Daño
circulación,Hacer
circulación,Permiso
cisma,División
citoplasma,Sustancia
ciudad,Lugar
clamor,Ruido
claridad,Efecto
clarín,Persona
clase,Categoría
clase,Lección
clasificación,Operación
clavadista,Persona
clavariácea,Hongo
clave,Símbolo
clavecinista,Persona
clavo,Callosidad
cliché,Idea
cliente,Persona
climatología,Ciencia
club,Asociación
club,Establecimiento
club,Local
clutch,Dispositivo
clásico,Persona
clínica,Establecimiento
clínico,Médico
coacción,Acción
coach,Persona
cobertor,Cobija
cobertura,Capa
cobertura,Área
cobrador,Persona
cobranza,Proceso
cobrar,Hacer
coccidiocida,Sustancia
cochino,Ahorro
cocido,Platillo
cociente,Número
cocimiento,Líquido
cocimiento,Proceso
cocina,Lugar
cocina,Persona
cocinero,Persona
cocol,Rombo
codazo,Golpe
codeína,Alcaloide
cojín,Tejido
cola,Extremidad
cola,Persona
colaborador,Persona
colado,Persona
colcha,Cubierta
coleccionista,Persona
colegiatura,Cantidad
colgajo,Objeto
colinesterasa,Enzima
collar,Anillo
colofón,Nota
colorante,Sustancia
colorímetro,Instrumento
colostomía,Operación
columnista,Periodista
comadre,Mujer
comadrona,Mujer
comandante,Militar
comandante,Persona
combatiente,Persona
combinar,Hacer
combretácea,Familia
comediante,Actor
comediante,Persona
comensal,Organismo
comentario,Observación
comentarista,Persona
comer,Hacer
comerciante,Persona
comezón,Inquietud
comisario,Persona
comisionado,Persona
comisionista,Persona
comisura,Tejido
compactación,Operación
compadrazgo,Relación
compadre,Hombre
comparabilidad,Posibilidad
comparativo,Aquellos
comparsa,Persona
compañero,Objeto
compañero,Persona
compensación,Cosa
competencia,Oposición
competidor,Persona
competitividad,Capacidad
complicar,Hacer
complicidad,Relación
componedor,Persona
componer,Hacer
compositor,Persona
comprador,Persona
comprar,Hacer
comprar,Lograr
compraventa,Actividad
compresión,Fuerza
compresión,Presión
compresor,Bomba
comprobante,Documento
compromiso,Obligación
computador,Aparato
compás,Brújula
compás,Instrumento
compás,Ángulo
comunicar,Hacer
comunismo,Doctrina
concejal,Persona
concejo,Conjunto
concesión,Permiso
concha,Aquella
conciencia,Facultad
conciencia,Hacer
conciliación,Acuerdo
conciliar,Hacer
conciliar,Persona
concubina,Mujer
concurrencia,Competencia
concursante,Persona
condenado,Persona
condensador,Aparato
condensador,Dispositivo
condicionar,Hacer
condición,Circunstancia
condición,Situación
condimento,Sustancia
condolencia,Testimonio
conducir,Hacer
conductor,Material
conductor,Persona
conecte,Relación
conferenciante,Persona
conferencista,Persona
confesión,Declaración
confesor,Cristiano
confidencia,Participación
conformar,Hacer
confort,Comodidad
confín,Región
congelador,Aparato
congresista,Persona
conjetura,Deducción
conjuntar,Lograr
conjurado,Persona
conmutación,Procedimiento
cono,Superficie
conocedor,Persona
conque,Indica
conquista,Lograr
conquistador,Persona
consagrar,Hacer
conscripto,Hombre
consejero,Aquello
consejero,Persona
consejo,Tribunal
conserje,Persona
conservador,Sustancia
consigna,Orden
consistencia,Cualidad
consola,Mesa
consola,Mueble
consonante,Letra
constante,Elemento
constante,Valor
constitucionalismo,Movimiento
consulado,Oficina
consulta,Examen
consumidor,Persona
contacto,Persona
contacto,Relación
contador,Persona
contaduría,Profesión
contagiar,Hacer
contaminar,Hacer
contemporáneo,Persona
contenido,Cosa
conteo,Cuenta
contingencia,Accidente
continuismo,Tendencia
contrabajo,Persona
contrabandista,Persona
contragolpe,Golpe
contramarco,Marco
contrapeso,Peso
contrariedad,Situación
contraste,Diferencia
contratiempo,Nota
contrayente,Persona
contribución,Dinero
contribución,Objeto
contribuyente,Persona
contrincante,Persona
control,Dispositivo
control,Medida
controlar,Hacer
controversia,Enfrentamiento
convencionalismo,Doctrina
convención,Acuerdo
convento,Edificio
convertir,Hacer
conífera,Clase
coordinación,Relación
coordinador,Persona
copa,Carta
copia,Ejemplar
cople,Pieza
coproducto,Producto
copépodo,Clase
corazón,Carta
corchea,Nota
corchete,Signo
corcho,Árbol
cordado,Metazoario
coreano,Gorra
coreano,Lengua
coreógrafo,Persona
corifeo,Bailarín
corifeo,Persona
corimbo,Inflorescencia
cornezuelo,Hongo
cornudo,Hombre
coro,Lugar
corolario,Proposición
corona,Aro
corrección,Indicación
correctivo,Agente
correctivo,Castigo
corredor,Persona
corregir,Hacer
correlación,Relación
correo,Servicio
correr,Hacer
corresponsabilidad,Responsabilidad
corresponsal,Periodista
corrida,Carrera
corrida,Fiesta
corriente,Tendencia
corromper,Hacer
corsetero,Persona
corsetería,Lugar
corso,Campaña
corso,Permiso
corta,Dinero
cortador,Máquina
cortador,Persona
cortadura,Abertura
cortafrío,Cincel
cortar,Impedir
corte,Lugar
cortejo,Conducta
cortesía,Favor
corticoesteroide,Hormona
cortocircuito,Daño
cosecha,Producto
cosmonauta,Persona
costura,Actividad
costurera,Mujer
cotización,Cuota
coto,Impedir
coyote,Persona
coyuntura,Situación
coz,Golpe
crear,Hacer
credencial,Documento
crepúsculo,Claridad
creyente,Persona
criadero,Lugar
criado,Persona
criador,Persona
crianza,Alimentación
crianza,Educación
criminal,Persona
criptógama,Planta
crisol,Depósito
cristal,Forma
cristero,Persona
cronista,Persona
cronología,Disciplina
crucigrama,Entretenimiento
crustáceo,Clase
cruzado,Guerrero
cruzado,Persona
crácido,Familia
crédito,Reconocimiento
crédito,Valor
crítico,Persona
cuadrado,Número
cuadrante,Tablero
cuadril,Hueso
cuadrúpedo,Animal
cuajo,Sustancia
cualidad,Virtud
cuanto,Indica
cuarto,Expresión
cuarto,Habitación
cuarto,Libro
cuate,Persona
cuatro,Número
cubero,Persona
cubo,Número
cucapá,Lengua
cuelga,Regalo
cuentista,Ladrón
cuentista,Persona
cuerdo,Persona
cuero,Piel
cuerpo,Hacer
cueva,Lugar
cuidado,Preocupación
cuidador,Persona
culatazo,Golpe
culebra,Familia
culero,Persona
culpar,Decir
culícido,Mosco
curandero,Persona
curia,Conjunto
curiosidad,Cuidado
curso,Hacer
curtidor,Persona
curva,Línea
custodio,Persona
cuyo,Indica
cuáquero,Persona
cálculo,Previsión
cámara,Aparato
cáncer,Enfermedad
cáncer,Mal
cápsula,Envoltura
cárcel,Lugar
cáñamo,Fibra
cédula,Documento
cómo,Señala
cómplice,Persona
cópula,Verbo
dama,Actriz
dama,Mujer
damnificado,Persona
danzante,Persona
dar,Hacer
deber,Aquello
debutante,Persona
decepción,Desengaño
decibel,Unidad
decidir,Hacer
decir,Frase
declarante,Persona
declive,Inclinación
decolorante,Sustancia
decorador,Persona
decremento,Disminución
decápodo,Crustáceo
defensor,Persona
defeño,Persona
definición,Decisión
deformidad,Deformación
dejar,Hacer
dejar,Permitir
delantero,Pieza
delator,Persona
delicia,Hacer
delincuente,Persona
demagogo,Persona
demandante,Persona
demografía,Disciplina
demostrar,Probar
demócrata,Persona
demógrafo,Persona
denominador,Rasgo
dentista,Médico
departamental,Almacén
dependiente,Empleado
dependiente,Persona
deportista,Persona
deprimir,Hacer
depósito,Objeto
derechazo,Golpe
derecho,Ciencia
derecho,Facultad
derecho,Punto
derivado,Palabra
derivado,Producto
derrame,Sangre
derrota,Dirección
derrota,Tendencia
desactivar,Impedir
desaguar,Hacer
desajuste,Efecto
desaparecer,Hacer
desarmador,Herramienta
desarraigar,Hacer
desarreglar,Hacer
desarrollar,Hacer
desastre,Acontecimiento
desbaratar,Hacer
descarrilar,Hacer
descomponer,Hacer
descompostura,Falla
desconocer,Negar
descontrolar,Hacer
descripción,Relato
descubierto,Deuda
descuento,Cantidad
desdicha,Acontecimiento
desdichado,Persona
desdén,Pase
desecho,Aquello
desempleado,Persona
desencantar,Hacer
desengañar,Hacer
desengaño,Impresión
desenrollar,Hacer
desentendido,Fingir
deseo,Impulso
desequilibrar,Hacer
desestabilizar,Hacer
desgastar,Hacer
deshonra,Acto
deshumanización,Proceso
desierto,Región
desinfectante,Sustancia
desinflamar,Hacer
deslucir,Hacer
desnaturalizar,Hacer
desocupado,Persona
desodorante,Sustancia
desorientar,Hacer
despachador,Persona
despensa,Lugar
desperdiciar,Dejar
desperdicio,Parte
despertar,Hacer
desplegado,Escrito
despoblar,Hacer
desquiciar,Hacer
destapador,Utensilio
destino,Fuerza
desviar,Hacer
detective,Aquel
detective,Persona
detector,Aparato
detener,Hacer
determinación,Decisión
deuda,Obligación
dextrosa,Azúcar
diablito,Conexión
diafragma,Dispositivo
diapasón,Instrumento
dibujante,Persona
dibujo,Figura
dibujo,Figuras
dictado,Discurso
dictador,Persona
diente,Aquel
dieta,Pago
diez,Número
diezmo,Dinero
diezmo,Impuesto
diferencial,Operación
difundir,Hacer
difunto,Persona
dignatario,Persona
dilatador,Músculo
diminutivo,Palabra
dinamo,Máquina
dinosaurio,Persona
diplomacia,Disciplina
diplomacia,Habilidad
diplomático,Persona
dique,Muro
dirección,Oficina
director,Persona
directriz,Idea
dirigente,Persona
disciplina,Comportamiento
diseñador,Persona
disimular,Hacer
disipar,Hacer
disparador,Dispositivo
disparar,Hacer
dispersar,Hacer
dispositivo,Aparato
distancia,Diferencia
distancia,Separación
distinción,Diferencia
distinción,Reconocimiento
distingo,Diferencia
distinguir,Hacer
distracción,Actividad
distraer,Hacer
diurético,Medicamento
divergencia,Diferencia
diversificar,Hacer
diversión,Actividad
dividir,Hacer
divisor,Número
divorciado,Persona
diámetro,Recta
dióxido,Compuesto
dobladillo,Doblez
doblamiento,Ornamento
doble,Cantidad
doble,Persona
doblez,Parte
doce,Número
doctor,Persona
doctrina,Plática
documento,Escrito
dogma,Verdad
doliente,Persona
domador,Persona
domar,Hacer
domesticar,Hacer
domicilio,Dato
dominio,Facultad
dominio,Poder
domo,Tapón
dorado,Militar
dormir,Hacer
dos,Número
dosímetro,Instrumento
dragón,Soldado
drenaje,Operación
droga,Sustancia
drogar,Hacer
dualismo,Doctrina
ducha,Baño
dulce,Golosina
dulcería,Lugar
duquesa,Mujer
débil,Persona
déspota,Gobernante
día,Saludo
día,Tiempo
díptero,Insecto
e,Forma
ebanistería,Carpintería
echar,Hacer
echar,Motivar
eclesiástico,Persona
eclipse,Ocultación
eco,Sonido
economista,Persona
economía,Ciencia
ecólogo,Persona
edad,Etapa
edad,Persona
edad,Tiempo
edafología,Ciencia
edicto,Aviso
editor,Persona
editorial,Empresa
educando,Persona
efervescencia,Propiedad
eficiencia,Relación
egresado,Persona
eje,Barra
eje,Recta
ejecutado,Persona
ejecutante,Persona
ejecutivo,Persona
ejemplo,Expresión
el,Indica
elasticidad,Propiedad
elector,Persona
electricista,Persona
electrolito,Sustancia
elevador,Aparato
elevar,Hacer
eliminador,Dispositivo
eliminar,Hacer
elongación,Ángulo
elíxir,Medicamento
embajada,Mensaje
embajador,Persona
embarazar,Hacer
embargo,Prohibición
emblema,Figura
embocadura,Gusto
emborrachar,Hacer
embotar,Hacer
embrague,Dispositivo
embrujar,Hacer
embrujar,Lograr
embute,Soborno
embutido,Alimento
emigrante,Persona
eminencia,Persona
emisor,Aparato
emisora,Estación
empapar,Hacer
emparejar,Hacer
empequeñecer,Hacer
empeño,Lugar
emplazamiento,Lugar
empleado,Persona
empotrar,Hacer
empréstito,Préstamo
empujar,Hacer
empuje,Fuerza
en,Indica
enamorado,Persona
enarcar,Hacer
enardecer,Hacer
encabezado,Título
encadenado,Estrofa
encadenamiento,Fenómeno
encaje,Depósito
encantador,Persona
encapuchado,Persona
encarcelado,Persona
encargado,Funcionario
encargado,Persona
encendedor,Utensilio
encender,Hacer
enchilada,Creer
encuestador,Persona
endemia,Enfermedad
enderezar,Hacer
endocardio,Membrana
endrogar,Hacer
endulzador,Sustancia
endurecer,Hacer
enemistar,Hacer
energúmeno,Persona
enervante,Sustancia
enfadar,Hacer
enfermero,Persona
enfocar,Hacer
engomado,Etiqueta
engorro,Molestia
engráulido,Familia
enigma,Pregunta
enlace,Lugar
enlace,Persona
enloquecer,Hacer
enojar,Causar
enrarecer,Hacer
enredo,Conflicto
enredo,Nudo
enrollamiento,Forma
enroscar,Hacer
ensalada,Platillo
enseñanza,Cosa
enseñar,Hacer
ensuciar,Hacer
entallar,Hacer
ente,Aquello
entender,Hacer
entender,Lograr
entendido,Persona
entendimiento,Comprensión
enterado,Persona
enterar,Hacer
entierro,Sitio
entorpecer,Hacer
entrada,Vocablo
entre,Indica
entrecruzar,Hacer
entregar,Hacer
entrenador,Persona
entretener,Hacer
entrevistado,Persona
entrevistador,Persona
enunciado,Expresión
enviado,Persona
enviar,Hacer
envilecer,Hacer
envolver,Lograr
epidemia,Enfermedad
epifita,Planta
episcopado,Tiempo
epopeya,Poema
epígrafe,Escrito
epílogo,Acontecimiento
epíteto,Calificativo
equilibrista,Persona
ermitaño,Persona
erosión,Desgaste
erudito,Persona
eréctil,Incapacidad
esbirro,Persona
escala,Proporción
escape,Actividad
escape,Dispositivo
esciófita,Planta
esclavo,Persona
escolástica,Filosofía
escondidas,Juego
escoria,Material
escote,Corte
escriba,Persona
escrito,Cosa
escritor,Persona
escritura,Sistema
escroto,Piel
escrúpulo,Limitación
escrúpulo,Temor
escuadra,Instrumento
escucha,Persona
escudo,Cosa
escuela,Establecimiento
escultor,Persona
escurridor,Objeto
escómbrido,Pez
esdrújula,Palabra
esfera,Campo
esgrima,Deporte
esgrimista,Persona
espacio,Extensión
espada,Arma
espada,Carta
espadazo,Robo
espadero,Ladrón
espantar,Hacer
especialista,Persona
espectador,Persona
espectro,Dispersión
especulador,Persona
espeleología,Ciencia
esperar,Creer
espesar,Hacer
espionaje,Vigilancia
espiral,Cuerpo
espiritismo,Doctrina
espiritualidad,Carácter
esponjar,Hacer
espía,Persona
esquiador,Persona
esquina,Lugar
esquizonte,Individuo
estabilizar,Hacer
establecer,Hacer
estaca,Palo
estadio,Lugar
estadista,Persona
estafador,Persona
estallido,Ruido
estampador,Persona
estancar,Impedir
estante,Parte
estatua,Escultura
estela,Señal
esteticismo,Postura
esteticista,Persona
estima,Cálculo
estimación,Sentimiento
estimulante,Sustancia
estimular,Hacer
estirar,Hacer
estofado,Guiso
estratega,Persona
estrella,Persona
estrellarse,Hacer
estribillo,Frase
estribo,Muchacho
estrigiforme,Ave
estro,Inspiración
estro,Parásito
estroboscopio,Aparato
estructura,Armadura
estudiante,Persona
estupidez,Tontería
estupor,Asombro
estática,Ruido
